speaker,text,emotion,empathy_score,active_listening_score,clear_communication_score,patience_score,source,condition
elder,what school do you go to?,neutral,3,3,3,3,dialogs_txt,general
elder,i go to pcc.,neutral,3,3,3,3,dialogs_txt,general
elder,do you like it there?,neutral,3,3,3,3,dialogs_txt,general
elder,it's okay. it's a really big campus.,neutral,3,3,3,3,dialogs_txt,general
elder,good luck with school.,happy,3,3,3,3,dialogs_txt,general
elder,thank you very much.,grateful,3,3,3,3,dialogs_txt,general
caregiver,how's it going?,neutral,2,3,4,3,dialogs_txt,general
elder,i'm doing well. how about you?,neutral,3,3,3,3,dialogs_txt,general
elder,"never better, thanks.",grateful,3,3,3,3,dialogs_txt,general
elder,so how have you been lately?,neutral,3,3,3,3,dialogs_txt,general
elder,i've actually been pretty good. you?,happy,3,3,3,3,dialogs_txt,general
elder,i'm actually in school right now.,neutral,3,3,3,3,dialogs_txt,general
elder,which school do you attend?,neutral,3,3,3,3,dialogs_txt,general
elder,i'm attending pcc right now.,neutral,3,3,3,3,dialogs_txt,general
elder,are you enjoying it there?,neutral,3,3,3,3,dialogs_txt,general
elder,it's not bad. there are a lot of people there.,neutral,3,3,3,3,dialogs_txt,general
elder,good luck with that.,happy,3,3,3,3,dialogs_txt,general
caregiver,how are you doing today?,neutral,2,3,4,3,dialogs_txt,general
elder,i'm doing great. what about you?,happy,3,3,3,3,dialogs_txt,general
elder,"i'm absolutely lovely, thank you.",grateful,3,3,3,3,dialogs_txt,general
elder,everything's been good with you?,happy,3,3,3,3,dialogs_txt,general
elder,i haven't been better. how about yourself?,neutral,3,3,3,3,dialogs_txt,general
elder,i started school recently.,neutral,3,3,3,3,dialogs_txt,general
elder,where are you going to school?,neutral,3,3,3,3,dialogs_txt,general
elder,i'm going to pcc.,neutral,3,3,3,3,dialogs_txt,general
elder,how do you like it so far?,neutral,3,3,3,3,dialogs_txt,general
elder,i like it so far. my classes are pretty good right now.,happy,3,3,3,3,dialogs_txt,general
elder,i wish you luck.,neutral,3,3,3,3,dialogs_txt,general
caregiver,it's an ugly day today.,neutral,2,3,4,3,dialogs_txt,general
elder,i know. i think it may rain.,neutral,3,3,3,3,dialogs_txt,general
elder,"it's the middle of summer, it shouldn't rain today.",neutral,3,3,3,3,dialogs_txt,general
elder,that would be weird.,neutral,3,3,3,3,dialogs_txt,general
elder,"yeah, especially since it's ninety degrees outside.",neutral,3,3,3,3,dialogs_txt,general
elder,"i know, it would be horrible if it rained and it was hot outside.",neutral,3,3,3,3,dialogs_txt,general
elder,"yes, it would be.",neutral,3,3,3,3,dialogs_txt,general
elder,i really wish it wasn't so hot every day.,neutral,3,3,3,3,dialogs_txt,general
elder,me too. i can't wait until winter.,neutral,3,3,3,3,dialogs_txt,general
elder,"i like winter too, but sometimes it gets too cold.",neutral,3,3,3,3,dialogs_txt,general
elder,i'd rather be cold than hot.,neutral,3,3,3,3,dialogs_txt,general
caregiver,it doesn't look very nice outside today.,neutral,2,3,4,3,dialogs_txt,general
elder,you're right. i think it's going to rain later.,neutral,3,3,3,3,dialogs_txt,general
elder,"in the middle of the summer, it shouldn't be raining.",neutral,3,3,3,3,dialogs_txt,general
elder,that wouldn't seem right.,neutral,3,3,3,3,dialogs_txt,general
elder,"considering that it's over ninety degrees outside, that would be weird.",neutral,3,3,3,3,dialogs_txt,general
elder,"exactly, it wouldn't be nice if it started raining. it's too hot.",neutral,3,3,3,3,dialogs_txt,general
elder,"i know, you're absolutely right.",neutral,3,3,3,3,dialogs_txt,general
elder,i wish it would cool off one day.,neutral,3,3,3,3,dialogs_txt,general
elder,"that's how i feel, i want winter to come soon.",neutral,3,3,3,3,dialogs_txt,general
elder,"i enjoy the winter, but it gets really cold sometimes.",neutral,3,3,3,3,dialogs_txt,general
elder,"i know what you mean, but i'd rather be cold than hot.",neutral,3,3,3,3,dialogs_txt,general
elder,that's exactly how i feel.,neutral,3,3,3,3,dialogs_txt,general
caregiver,i wish it was a nicer day today.,neutral,2,3,4,3,dialogs_txt,general
elder,that is true. i hope it doesn't rain.,neutral,3,3,3,3,dialogs_txt,general
elder,it wouldn't rain in the middle of the summer.,neutral,3,3,3,3,dialogs_txt,general
elder,it wouldn't seem right if it started raining right now.,neutral,3,3,3,3,dialogs_txt,general
elder,it would be weird if it started raining in ninety degree weather.,neutral,3,3,3,3,dialogs_txt,general
elder,any rain right now would be pointless.,neutral,3,3,3,3,dialogs_txt,general
elder,"that's right, it really would be.",neutral,3,3,3,3,dialogs_txt,general
elder,i want it to cool down some.,neutral,3,3,3,3,dialogs_txt,general
elder,"i know what you mean, i can't wait until it's winter.",neutral,3,3,3,3,dialogs_txt,general
elder,winter is great. i wish it didn't get so cold sometimes though.,happy,3,3,3,3,dialogs_txt,general
elder,i would rather deal with the winter than the summer.,neutral,3,3,3,3,dialogs_txt,general
caregiver,it's such a nice day.,neutral,2,3,4,3,dialogs_txt,general
elder,"yes, it is.",neutral,3,3,3,3,dialogs_txt,general
elder,it looks like it may rain soon.,neutral,3,3,3,3,dialogs_txt,general
elder,"yes, and i hope that it does.",neutral,3,3,3,3,dialogs_txt,general
elder,why is that?,neutral,3,3,3,3,dialogs_txt,general
elder,i really love how rain clears the air.,neutral,3,3,3,3,dialogs_txt,general
elder,me too. it always smells so fresh after it rains.,neutral,3,3,3,3,dialogs_txt,general
elder,"yes, but i love the night air after it rains.",neutral,3,3,3,3,dialogs_txt,general
elder,really? why is it?,neutral,3,3,3,3,dialogs_txt,general
elder,because you can see the stars perfectly.,neutral,3,3,3,3,dialogs_txt,general
elder,i really hope it rains today.,neutral,3,3,3,3,dialogs_txt,general
elder,"yeah, me too.",neutral,3,3,3,3,dialogs_txt,general
caregiver,isn't it a nice day?,neutral,2,3,4,3,dialogs_txt,general
elder,it really is.,neutral,3,3,3,3,dialogs_txt,general
elder,it seems that it may rain today.,neutral,3,3,3,3,dialogs_txt,general
elder,hopefully it will.,neutral,3,3,3,3,dialogs_txt,general
elder,i like how clear the sky gets after it rains.,neutral,3,3,3,3,dialogs_txt,general
elder,i feel the same way. it smells so good after it rains.,happy,3,3,3,3,dialogs_txt,general
elder,i especially love the night air when it rains.,neutral,3,3,3,3,dialogs_txt,general
elder,really? why?,neutral,3,3,3,3,dialogs_txt,general
elder,the stars look so much closer after it rains.,neutral,3,3,3,3,dialogs_txt,general
elder,i really want it to rain today.,neutral,3,3,3,3,dialogs_txt,general
elder,"yeah, so do i.",neutral,3,3,3,3,dialogs_txt,general
caregiver,don't you think it's nice out?,neutral,2,3,4,3,dialogs_txt,general
elder,"yes, i think so too.",neutral,3,3,3,3,dialogs_txt,general
elder,i think that it's going to rain.,neutral,3,3,3,3,dialogs_txt,general
elder,i hope that it does rain.,neutral,3,3,3,3,dialogs_txt,general
elder,you like the rain?,neutral,3,3,3,3,dialogs_txt,general
elder,the sky looks so clean after it rains. i love it.,neutral,3,3,3,3,dialogs_txt,general
elder,i understand. rain does make it smell cleaner.,neutral,3,3,3,3,dialogs_txt,mobility
elder,i love most how it is at night after it rains.,neutral,3,3,3,3,dialogs_txt,general
elder,you can see the stars so much more clearly after it rains.,neutral,3,3,3,3,dialogs_txt,general
elder,i would love for it to rain today.,neutral,3,3,3,3,dialogs_txt,general
caregiver,i really want to go to the beach this weekend.,neutral,2,3,4,3,dialogs_txt,general
elder,that sounds like fun. what's the weather going to be like?,neutral,3,3,3,3,dialogs_txt,general
elder,i heard that it's going to be warm this weekend.,neutral,3,3,3,3,dialogs_txt,general
elder,is it going to be perfect beach weather?,neutral,3,3,3,3,dialogs_txt,general
elder,i believe so.,neutral,3,3,3,3,dialogs_txt,general
caregiver,Help me learn about who is at risk for lymphocytic choriomeningitis (lcm)?,neutral,3,3,4,3,train_csv,general
elder,"LCMV infections can occur after exposure to fresh urine, droppings, saliva, or nesting materials from infected rodents.   Transmission may also occur when these materials are directly introduced into ...",neutral,3,3,3,3,train_csv,general
caregiver,Could you explain what are the treatments for lymphocytic choriomeningitis (lcm)?,neutral,3,3,4,3,train_csv,general
elder,"Aseptic meningitis, encephalitis, or meningoencephalitis requires hospitalization and supportive treatment based on severity.  Anti-inflammatory drugs, such as corticosteroids, may be considered under...",neutral,3,3,3,3,train_csv,general
caregiver,Help me learn about what is (are) parasites - cysticercosis?,neutral,3,3,4,3,train_csv,general
elder,Cysticercosis is an infection caused by the larvae of the parasite Taenia solium.   This infection occurs after a person swallows tapeworm eggs,neutral,3,3,3,3,train_csv,general
caregiver,Could you explain what are the treatments for parasites - cysticercosis?,neutral,3,3,4,3,train_csv,general
elder,Some people with cysticercosis do not need to be treated.  There are medications available to treat cysticercosis for those who do need treatment,neutral,3,3,3,3,train_csv,dementia
caregiver,Could you explain what is (are) parasites - trichuriasis (also known as whipworm infection)?,neutral,3,3,4,3,train_csv,general
elder,Whipworm (Trichuris trichiura) is an intestinal parasite of humans.  The larvae and adult worms live in the intestine of humans and can cause intestinal disease,neutral,3,3,3,3,train_csv,general
caregiver,Help me learn about how to diagnose parasites - trichuriasis (also known as whipworm infection)?,neutral,3,3,4,3,train_csv,general
elder,"The standard method for diagnosing the presence of whipworm is by microscopically identifying whipworm eggs in a stool sample.  Because eggs may be difficult to find in light infections, a concentrati...",neutral,3,3,3,3,train_csv,mobility
caregiver,I'd like to understand what are the treatments for parasites - trichuriasis (also known as whipworm infection)?,neutral,3,3,4,3,train_csv,general
elder,"Anthelminthic medications (drugs that rid the body of parasitic worms), such as albendazole and mebendazole, are the drugs of choice for treatment.  Infections are generally treated for 3 days",neutral,3,3,3,3,train_csv,dementia
caregiver,Help me learn about what are marine toxins?,neutral,3,3,4,3,train_csv,general
elder,"Marine toxins are naturally occurring chemicals that can contaminate certain seafood.  The seafood contaminated with these chemicals frequently looks, smells, and tastes normal",neutral,3,3,3,3,train_csv,general
caregiver,Could you explain how can these diseases be treated for marine toxins?,neutral,3,3,4,3,train_csv,general
elder,"Other than supportive care there are few specific treatments for ciguatera poisoning, paralytic shellfish poisoning, neurotoxic shellfish poisoning, or amnesic shellfish poisoning.  Antihistamines and...",neutral,3,3,3,3,train_csv,general
caregiver,Can you tell me about what can i do to prevent poisoning by marine toxins?,neutral,3,3,4,3,train_csv,general
elder,General guidelines for safe seafood consumption:,neutral,3,3,3,3,train_csv,general
caregiver,Could you explain what else can be done to prevent these diseases for marine toxins?,neutral,3,3,4,3,train_csv,general
elder,"It is important to notify public health departments about even one person with marine toxin poisoning.  Public health departments can then investigate to determine if a restaurant, oyster bed, or fish...",neutral,3,3,3,3,train_csv,general
caregiver,Help me learn about what is (are) yellow fever vaccination?,neutral,3,3,4,3,train_csv,general
elder,"If you continue to live or travel in yellow fever-endemic areas, you should receive a booster dose of yellow fever vaccine after 10 years. 
                
After receiving the vaccine, you should rec...",neutral,3,3,3,3,train_csv,general
caregiver,Could you explain what is (are) parasites - schistosomiasis?,neutral,3,3,4,3,train_csv,general
elder,"Schistosomiasis, also known as bilharzia, is a disease caused by parasitic worms.  Infection with Schistosoma mansoni, S",neutral,3,3,3,3,train_csv,general
caregiver,Can you tell me about how to diagnose parasites - schistosomiasis?,neutral,3,3,4,3,train_csv,general
elder,Stool or urine samples can be examined microscopically for parasite eggs (stool for S.  mansoni or S,neutral,3,3,3,3,train_csv,diabetes
caregiver,I'd like to understand what are the treatments for parasites - schistosomiasis?,neutral,3,3,4,3,train_csv,general
elder,"Safe and effective medication is available for treatment of both urinary and intestinal schistosomiasis.  Praziquantel, a prescription medication, is taken for 1-2 days to treat infections caused by a...",neutral,3,3,3,3,train_csv,dementia
caregiver,Help me learn about what is (are) parasites - lice - head lice?,neutral,3,3,4,3,train_csv,general
elder,"The head louse, or Pediculus humanus capitis, is a parasitic insect that can be found on the head, eyebrows, and eyelashes of people.  Head lice feed on human blood several times a day and live close ...",neutral,3,3,3,3,train_csv,diabetes
caregiver,Can you tell me about how to diagnose parasites - lice - body lice?,neutral,3,3,4,3,train_csv,general
elder,Body lice infestation is diagnosed by finding eggs and crawling lice in the seams of clothing.  Sometimes a body louse can be seen crawling or feeding on the skin,neutral,3,3,3,3,train_csv,general
caregiver,I'd like to understand what is (are) parasites - toxocariasis (also known as roundworm infection)?,neutral,3,3,4,3,train_csv,general
elder,"Frequently Asked Questions (FAQs)
    
    
                
    Fact Sheets",neutral,3,3,3,3,train_csv,general
caregiver,Could you explain what are the treatments for parasites - toxocariasis (also known as roundworm infection)?,neutral,3,3,4,3,train_csv,general
elder,Visceral toxocariasis can be treated with antiparasitic drugs such as albendazole or mebendazole.  Treatment of ocular toxocariasis is more difficult and usually consists of measures to prevent progre...,neutral,3,3,3,3,train_csv,general
caregiver,Could you explain what is (are) acanthamoeba - granulomatous amebic encephalitis (gae); keratitis?,neutral,3,3,4,3,train_csv,general
elder,"Acanthamoeba is a microscopic, free-living ameba (single-celled living organism) commonly found in the environment that can cause rare, but severe, illness.  Acanthamoeba causes three main types of il...",neutral,3,3,3,3,train_csv,general
caregiver,Could you explain how to prevent acanthamoeba - granulomatous amebic encephalitis (gae); keratitis?,neutral,3,3,4,3,train_csv,general
caregiver,I'd like to understand who is at risk for alkhurma hemorrhagic fever (ahf)?,neutral,3,3,4,3,train_csv,general
elder,"Contact with  livestock with tick exposure are risk factors for humans, as is contact with infected ticks, whether through crushing the infected tick with unprotected fingers or by a bite from an infe...",neutral,3,3,3,3,train_csv,general
caregiver,I'd like to understand how to diagnose alkhurma hemorrhagic fever (ahf)?,neutral,3,3,4,3,train_csv,general
elder,"Clinical diagnosis could be difficult due to similarities between AVHF, Crimean-Congo Hemorrhagic fever (CCHF), and Rift Valley fever (RVF), which occur in similar geographic areas.  Laboratory diagno...",neutral,3,3,3,3,train_csv,diabetes
caregiver,Could you explain what are the treatments for alkhurma hemorrhagic fever (ahf)?,neutral,3,3,4,3,train_csv,general
elder,"There is no standard specific treatment for the disease.  Patients receive supportive therapy, which consists of balancing the patient’s fluid and electrolytes, maintaining oxygen status and blood pre...",neutral,3,3,3,3,train_csv,diabetes
caregiver,I'd like to understand what are the treatments for parasites - taeniasis?,neutral,3,3,4,3,train_csv,general
elder,"Treatment is available after accurate diagnosis.  Your doctor will provide prescription medication, either praziquantel or niclosamide, which is taken by mouth",neutral,3,3,3,3,train_csv,dementia
caregiver,Could you explain what are the treatments for parasites - baylisascaris infection?,neutral,3,3,4,3,train_csv,general
elder,"No drugs have been shown to be totally effective for the treatment of Baylisascaris infection.  Albendazole, a broad spectrum anthelmintic, has been recommended for specific cases",neutral,3,3,3,3,train_csv,general
caregiver,Help me learn about how to diagnose parasites - babesiosis?,neutral,3,3,4,3,train_csv,general
elder,"In symptomatic people, babesiosis usually is diagnosed by examining blood specimens under a microscope and seeing Babesia parasites inside red blood cells. 
    
To be sure the diagnosis is correct, y...",neutral,3,3,3,3,train_csv,diabetes
caregiver,Can you tell me about what are the treatments for parasites - babesiosis?,neutral,3,3,4,3,train_csv,general
elder,Effective treatments are available.  People who do not have any symptoms or signs of babesiosis usually do not need to be treated,neutral,3,3,3,3,train_csv,general
caregiver,I'd like to understand how common is botulism?,neutral,3,3,4,3,train_csv,general
elder,"In the United States, an average of 145 cases are reported each year. Of these, approximately 15% are foodborne, 65% are infant botulism, and 20% are wound",neutral,3,3,3,3,train_csv,general
caregiver,Help me learn about what are the treatments for marburg hemorrhagic fever (marburg hf)?,neutral,3,3,4,3,train_csv,general
elder,"There is no specific treatment for Marburg hemorrhagic fever.  Supportive hospital therapy should be utilized, which includes balancing the patient's fluids and electrolytes, maintaining oxygen status...",neutral,3,3,3,3,train_csv,dementia
caregiver,Help me learn about what is (are) parasites - leishmaniasis?,neutral,3,3,4,3,train_csv,general
elder,"Leishmaniasis is a parasitic disease that is found in parts of the tropics, subtropics, and southern Europe.  Leishmaniasis is caused by infection with Leishmania parasites, which are spread by the bi...",neutral,3,3,3,3,train_csv,general
caregiver,I'd like to understand what is (are) parasites - hookworm?,neutral,3,3,4,3,train_csv,general
elder,Hookworm is an intestinal parasite of humans.  The larvae and adult worms live in the small intestine can cause intestinal disease,neutral,3,3,3,3,train_csv,dementia
caregiver,Help me learn about how to diagnose parasites - hookworm?,neutral,3,3,4,3,train_csv,general
elder,"The standard method for diagnosing the presence of hookworm is by identifying hookworm eggs in a stool sample using a microscope.  Because eggs may be difficult to find in light infections, a concentr...",neutral,3,3,3,3,train_csv,mobility
caregiver,I'd like to understand what are the treatments for parasites - hookworm?,neutral,3,3,4,3,train_csv,general
elder,"Anthelminthic medications (drugs that rid the body of parasitic worms), such as albendazole and mebendazole, are the drugs of choice for treatment of hookworm infections.  Infections are generally tre...",neutral,3,3,3,3,train_csv,dementia
caregiver,Could you explain how to prevent parasites - hookworm?,neutral,3,3,4,3,train_csv,general
elder,"The best way to avoid hookworm infection is not to walk barefoot in areas where hookworm is common and where there may be human fecal contamination of the soil.  Also, avoid other skin contact with su...",neutral,3,3,3,3,train_csv,mobility
caregiver,Can you tell me about who is at risk for nocardiosis?,neutral,3,3,4,3,train_csv,general
elder,"The bacteria that cause nocardiosis are commonly found in soil and water. 
    
You could become sick with nocardiosis if:
    
     - You inhale (breathe in) the bacteria
     - Bacteria gets into an...",neutral,3,3,3,3,train_csv,general
caregiver,Help me learn about what are the treatments for nocardiosis?,neutral,3,3,4,3,train_csv,general
elder,"If you think you might be sick with nocardiosis, talk to your doctor. 
    
He or she can help find out if you have the disease by performing tests that can identify the bacteria that causes nocardios...",neutral,3,3,3,3,train_csv,general
caregiver,Can you tell me about who is at risk for chapare hemorrhagic fever (chhf)?,neutral,3,3,4,3,train_csv,general
elder,"CHHF occurs in the Cochabamba region of Bolivia.  
Field workers 
                
Field workers are at greatest risk because of increased human contact with the reservoir rodent population",neutral,3,3,3,3,train_csv,general
caregiver,Help me learn about how to prevent chapare hemorrhagic fever (chhf)?,neutral,3,3,4,3,train_csv,general
elder,"Although rodent control would be desirable, it will not be a successful strategy for preventing Chapare hemorrhagic fever cases caused by exposures outdoors.  
   
As for other hemorrhagic fevers, ful...",neutral,3,3,3,3,train_csv,general
caregiver,I'd like to understand how common is infection with y. enterocolitica for yersinia?,neutral,3,3,4,3,train_csv,general
elder,Y.  enterocolitica is a relatively infrequent cause of diarrhea and abdominal pain,neutral,3,3,3,3,train_csv,general
caregiver,Help me learn about how can y. enterocolitica infections be diagnosed for yersinia?,neutral,3,3,4,3,train_csv,general
elder,Y.  enterocolitica infections are generally diagnosed by detecting the organism in the stools,neutral,3,3,3,3,train_csv,diabetes
caregiver,Could you explain how can y. enterocolitica infections be treated for yersinia?,neutral,3,3,4,3,train_csv,general
elder,Uncomplicated cases of diarrhea due to Y.  enterocolitica usually resolve on their own without antibiotic treatment,neutral,3,3,3,3,train_csv,general
caregiver,Can you tell me about what is (are) parasites - lymphatic filariasis?,neutral,3,3,4,3,train_csv,general
elder,"Frequently Asked Questions (FAQs)
    
    Vector Information",neutral,3,3,3,3,train_csv,general
caregiver,Could you explain what is (are) parasites - loiasis?,neutral,3,3,4,3,train_csv,general
elder,Loiasis is an infection caused by the parasitic worm Loa loa. ,neutral,3,3,3,3,train_csv,general
caregiver,I'd like to understand who is at risk for omsk hemorrhagic fever (ohf)?,neutral,3,3,4,3,train_csv,general
elder,"In areas where rodent reservoirs and tick species are prevalent, people with recreational or occupational exposure to rural or outdoor settings (e. g",neutral,3,3,3,3,train_csv,general
caregiver,Could you explain how to diagnose omsk hemorrhagic fever (ohf)?,neutral,3,3,4,3,train_csv,general
elder,OHF virus may be detected in blood samples by virus isolation in cell culture or using molecular techniques such as PCR.  Blood samples can also be tested for antibody presence using enzyme-linked imm...,neutral,3,3,3,3,train_csv,diabetes
caregiver,Help me learn about what are the treatments for omsk hemorrhagic fever (ohf)?,neutral,3,3,4,3,train_csv,general
elder,"There is no specific treatment for OHF, but supportive therapy is important.  Supportive therapy includes the maintenance of hydration and the usual precautions for patients with bleeding disorders",neutral,3,3,3,3,train_csv,general
caregiver,Can you tell me about how to prevent omsk hemorrhagic fever (ohf)?,neutral,3,3,4,3,train_csv,general
elder,"There is no vaccine currently available for OHF, but vaccines for tick-borne encephalitis disease (TBE) have been shown to confer some immunity and may be used for high-risk groups.  
                ...",neutral,3,3,3,3,train_csv,general
caregiver,Can you tell me about what is (are) parasites - enterobiasis (also known as pinworm infection)?,neutral,3,3,4,3,train_csv,general
elder,"A pinworm (""threadworm"") is a small, thin, white roundworm (nematode) called Enterobius vermicularis that sometimes lives in the colon and rectum of humans.  Pinworms are about the length of a staple",neutral,3,3,3,3,train_csv,general
caregiver,Can you tell me about who is at risk for hendra virus disease (hev)?,neutral,3,3,4,3,train_csv,general
elder,"Transmission of Hendra virus to humans can occur after exposure to body fluids and tissues or excretions of horses infected with Hendra virus.  
 
Horses may be infected after exposure to virus in the...",neutral,3,3,3,3,train_csv,general
caregiver,Help me learn about what are the symptoms of hendra virus disease (hev)?,neutral,3,3,4,3,train_csv,general
elder,"After an incubation of 9-16 days, infection with Hendra virus can lead to respiratory illness with severe flu-like signs and symptoms.  In some cases, illness may progress to encephalitis",neutral,3,3,3,3,train_csv,general
caregiver,Can you tell me about what are the treatments for hendra virus disease (hev)?,neutral,3,3,4,3,train_csv,general
elder,"The drug ribavirin has been shown to be effective against the viruses in vitro, but the clinical usefulness of this drug is uncertain.  
                
A post-exposure therapy with a Nipah/Hendra ne...",neutral,3,3,3,3,train_csv,general
caregiver,Can you tell me about what is (are) parasites - zoonotic hookworm?,neutral,3,3,4,3,train_csv,general
elder,"There are many different species of hookworms, some are human parasites and some are animal parasites.  People can be infected by larvae of animal hookworms, usually dog and cat hookworms",neutral,3,3,3,3,train_csv,general
caregiver,Could you explain what are the treatments for parasites - zoonotic hookworm?,neutral,3,3,4,3,train_csv,general
elder,"The zoonotic hookworm larvae that cause cutaneous larva migrans (CLM) usually do not survive more than 5 – 6 weeks in the human host.  In most patients with CLM, the signs and symptoms resolve without...",neutral,3,3,3,3,train_csv,general
caregiver,Could you explain what is (are) parasites - african trypanosomiasis (also known as sleeping sickness)?,neutral,3,3,4,3,train_csv,general
elder,Frequently Asked Queestions (FAQs),neutral,3,3,3,3,train_csv,general
caregiver,I'd like to understand what is (are) parasites - angiostrongyliasis (also known as angiostrongylus infection)?,neutral,3,3,4,3,train_csv,general
elder,Angiostrongylus cantonensis is a parasitic worm of rats.  It is also called the rat lungworm,neutral,3,3,3,3,train_csv,general
caregiver,Help me learn about what is (are) parasites - ascariasis?,neutral,3,3,4,3,train_csv,general
elder,Ascaris is an intestinal parasite of humans.  It is the most common human worm infection,neutral,3,3,3,3,train_csv,general
caregiver,I'd like to understand who is at risk for parasites - ascariasis?,neutral,3,3,4,3,train_csv,general
elder,"Ascaris infection is one of the most common intestinal worm infections.  It is found in association with poor personal hygiene, poor sanitation, and in places where human feces are used as fertilizer",neutral,3,3,3,3,train_csv,general
caregiver,Could you explain how to diagnose parasites - ascariasis?,neutral,3,3,4,3,train_csv,general
elder,"The standard method for diagnosing ascariasis is by identifying Ascaris eggs in a stool sample using a microscope.  Because eggs may be difficult to find in light infections, a concentration procedure...",neutral,3,3,3,3,train_csv,mobility
caregiver,Can you tell me about what are the treatments for parasites - ascariasis?,neutral,3,3,4,3,train_csv,general
elder,"Anthelminthic medications (drugs that rid the body of parasitic worms), such as albendazole and mebendazole, are the drugs of choice for treatment of Ascaris infections.  Infections are generally trea...",neutral,3,3,3,3,train_csv,dementia
caregiver,Help me learn about how to diagnose 2009 h1n1 flu?,neutral,3,3,4,3,train_csv,general
elder,"Content on this page was developed during the 2009-2010 H1N1 pandemic and has not been updated.  
    
    - The H1N1 virus that caused that pandemic is now a regular human flu virus and continues to ...",neutral,3,3,3,3,train_csv,general
caregiver,Can you tell me about who is at risk for crimean-congo hemorrhagic fever (cchf)?,neutral,3,3,4,3,train_csv,general
elder,"Animal herders, livestock workers, and slaughterhouse workers in endemic areas are at risk of CCHF.  Healthcare workers in endemic areas are at risk of infection through unprotected contact with infec...",neutral,3,3,3,3,train_csv,diabetes
caregiver,Could you explain how to prevent lujo hemorrhagic fever (luhf)?,neutral,3,3,4,3,train_csv,general
elder,"Although rodent control would be desirable, it will not be a successful strategy for preventing Lujo hemorrhagic fever cases caused by exposures outdoors.  
   
As for other hemorrhagic fevers, full b...",neutral,3,3,3,3,train_csv,general
caregiver,Help me learn about what are the symptoms of acinetobacter in healthcare settings?,neutral,3,3,4,3,train_csv,general
elder,"Acinetobacter causes a variety of diseases, ranging from pneumonia to serious blood or wound infections, and the symptoms vary depending on the disease.  Acinetobacter may also “colonize” or live in a...",neutral,3,3,3,3,train_csv,diabetes
